;TeamNr;;;;;;;;;;;;;;;;;;;;;
609;15;3;3;0;1;0;1;1;5;6;5;4;3;6;5;7;9;7;7;6;8;8
264;15;3;1;0;0;3;1;1;9;8;6;5;8;7;8;7;7;5;7;7;6;6
596;15;3;3;0;0;1;1;1;11;10;8;7;8;9;8;8;9;8;7;7;9;8
639;15;3;3;1;0;0;1;1;7;7;5;6;2;7;7;8;8;8;7;4;8;7
;;571;565;542;290;306;536;;571;565;542;290;306;536;;571;565;542;290;306;536;
571;16;3;1;3;0;0;1;;15;15;15;8;4;12;;8;8;9;7;7;7;
565;16;0;1;3;0;3;1;;8;10;14;7;12;9;;7;8;9;7;8;7;
542;16;;;;;;;;;;;;;;;;;;;;;
290;16;;;;;;;;;;;;;;;;;;;;;
306;16;0;1;3;0;1;3;;6;6;6;5;4;5;;4;5;6;5;4;6;
536;16;0;0;3;3;1;1;;10;10;12;12;11;11;;9;8;10;10;9;9;
;;323;555;562;588;299;577;665;323;555;562;588;299;577;665;323;555;562;588;299;577;665
323;17;3;0;1;1;1;3;0;16;7;8;9;10;15;4;10;7;7;7;8;10;5
555;17;0;1;1;1;0;3;3;15;10;12;9;13;17;4;8;6;6;6;6;9;4
562;17;3;0;1;1;1;3;0;18;8;12;9;11;16;7;9;6;8;7;7;8;6
588;17;3;0;1;1;0;3;1;17;8;9;9;8;15;8;8;5;7;6;5;8;6
299;17;3;1;0;1;3;1;0;20;18;17;19;19;20;15;10;8;8;9;9;9;8
577;17;3;0;1;1;1;3;0;18;7;10;10;8;15;5;7;5;6;7;6;7;5
665;17;3;1;3;1;0;0;1;17;15;15;11;9;14;13;9;7;6;8;5;7;6
;;613;554;603;548;614;314;;613;554;603;548;614;314;;613;554;603;548;614;314;
613;18;3;1;0;0;3;1;;20;15;10;14;20;15;;8;7;8;7;8;8;
554;18;;;;;;;;;;;;;;;;;;;;;
603;18;3;0;1;0;3;1;;17;8;16;8;17;14;;6;6;7;6;6;7;
548;18;1;0;3;0;1;3;;;5;;3;;;;8;8;9;7;8;9;
614;18;3;1;0;0;3;1;;12;9;7;6;14;7;;8;9;9;7;9;9;
314;18;0;1;3;0;3;1;;7;7;7;7;7;7;;7;7;7;7;7;7;
;;635;641;265;540;644;331;;635;641;265;540;644;331;;635;641;265;540;644;331;
635;19;3;0;1;1;0;3;;48;26;43;40;24;45;;10;7;9;8;7;10;
641;19;;;;;;;;;;;;;;;;;;;;;
265;19;1;0;3;3;0;1;;30;25;32;28;20;30;;8;6;9;7;6;9;
