610;11;3;1;3;1;0;0;2;2;2;2;2;2;10;10;10;10;10;10
539;11;0;3;1;0;1;3;5;5;5;5;5;5;10;10;10;10;10;10
536;11;1;3;1;0;0;3;5;7;7;4;4;7;8;9;9;8;8;9
;;612;281;301;564;543;567;612;281;301;564;543;567;612;281;301;564;543;567
612;12;3;0;0;3;1;1;5;1;1;5;3;5;9;5;5;9;7;9
281;12;0;1;0;3;1;3;3;5;4;5;6;5;8;8;8;8;8;8
301;12;1;0;3;1;0;3;3;2;4;2;5;2;8;5;10;7;5;7
564;12;1;0;0;3;1;3;0;0;0;1;0;1;10;6;6;10;9;10
543;12;0;3;1;1;3;0;2;2;3;2;3;2;7;9;9;8;9;8
567;12;1;0;0;3;1;3;1;0;1;3;2;3;5;0;3;9;6;8
;;579;304;587;584;552;173;579;304;587;584;552;173;579;304;587;584;552;173
579;13;3;0;1;0;3;1;10;0;2;0;5;2;8;0;7;0;7;7
304;13;;;;;;;;;;;;;;;;;;
587;13;3;0;1;0;3;1;6;2;4;2;4;3;8;5;7;6;7;7
584;13;3;1;0;1;0;3;3;2;2;2;2;2;10;10;10;10;10;10
552;13;3;0;0;1;3;1;5;2;2;3;5;3;10;6;6;8;9;8
173;13;3;0;1;0;3;1;3;0;1;0;2;2;10;4;7;4;9;9
;;546;615;570;616;622;;546;615;570;616;622;;546;615;570;616;622;
546;14;3;0,5;0;0,5;3;;7;3;2;4;6;;7;7;7;7;7;
615;14;3;0;0;1;3;;12;5;6;9;12;;10;6;6;9;10;
570;14;0;0;3;3;1;;10;5;9;8;8;;8;7;10;9;10;
616;14;3;0;0;1;3;;8;5;5;5;6;;10;10;10;10;10;
622;14;3;0;0;1;3;;2;2;1;2;2;;9;9;7;9;9;
;;270;575;614;331;;;270;575;614;331;;;270;575;614;331;;
270;15;3;3;0;0;;;5;6;6;5;;;7;8;8;7;;
575;15;;;;;;;;;;;;;;;;;;
614;15;0;3;3;0;;;4;9;13;9;;;7;10;10;10;;
331;15;0;3;0;3;;;2;3;3;3;;;10;10;10;10;;
;;268;604;599;538;541;565;268;604;599;538;541;565;268;604;599;538;541;565
268;16;0;0;1;3;1;3;10;7;8;10;8;12;7;4;7;9;7;9
604;16;1;3;0;3;0;1;5;8;6;6;4;5;10;10;10;10;10;10
599;16;0;1;1;3;0;3;4;4;5;5;3;6;4;4;5;5;3;5
538;16;3;0;1;1;0;3;5;2;4;6;4;7;8;6;8;8;8;10
541;16;1;0;0;3;1;3;36;30;36;40;36;40;8;7;8;9;8;9
565;16;1;0;1;3;0;3;10;5;15;20;12;20;5;3;6;10;6;10
;;613;556;558;540;;;613;556;558;540;;;613;556;558;540;;
613;17;3;0;3;0;;;10;7;15;5;;;8;7;9;7;;
556;17;0;3;3;0;;;10;10;10;9;;;8;9;10;6;;
558;17;0;3;3;0;;;4;5;5;4;;;7;8;8;7;;
540;17;0;3;3;0;;;4;5;5;4;;;7;8;8;7;;
;;265;549;633;550;;;265;549;633;550;;;265;549;633;550;;
265;18;3;0;0;3;;;25;15;15;25;;;10;8;8;10;;
549;18;3;0;0;3;;;4;4;4;4;;;9;9;9;9;;
633;18;3;0;0;3;;;;;;;;;;;;;;
550;18;3;0;0;3;;;5;2;3;3;;;6;5;6;6;;
;;659;583;548;;;;659;583;548;;;;659;583;548;;;
659;19;3;3;0;;;;9;5;4;;;;8;4;4;;;
583;19;3;3;0;;;;8;8;8;;;;10;10;10;;;
548;19;;;;;;;;;;;;;;;;;;
;;555;544;537;634;;;555;544;537;634;;;555;544;537;634;;
555;20;3;0;3;0;;;17;7;9;0;;;7;7;8;0;;
544;20;3;0;3;0;;;9;3;4;5;;;9;8;8;8;;
537;20;3;0;3;0;;;8;3;6;0;;;9;8;8;3;;
634;20;;;;;;;;;;;;;;;;;;
;;647;636;560;;;;647;636;560;;;;647;636;560;;;
647;21;3;0;3;;;;5;5;5;;;;8;8;8;;;
636;21;0;3;3;;;;10;15;15;;;;8;8;8;;;
560;21;3;0;3;;;;2;2;10;;;;1;1;7;;;
