636;11;1;0;0;3;1;3;1;20;15;11;20;15;20;16;8;8;7;8;8;8;8
559;11;0;1;0;1;3;1;3;5;3;5;4;1;1;4;0;7;8;8;4;2;8
;;637;281;644;594;313;;;637;281;644;594;313;;;637;281;644;594;313;;
637;12;3;1;0;0;3;;;5;5;2;3;6;;;8;8;6;7;9;;
281;12;1;3;0;0;3;;;13;15;12;12;18;;;9;9;9;9;9;;
644;12;0;3;3;1;;;;6;7;8;6;;;;6;8;7;7;;;
594;12;0;3;0;1;3;;;5;7;4;5;7;;;8;8;7;7;8;;
313;12;3;1;0;0;3;;;9;8;5;7;10;;;9;9;7;8;9;;
;;555;651;546;609;649;634;;555;651;546;609;649;634;;555;651;546;609;649;634;
555;13;1;3;0;3;0;1;;30;40;20;30;3;30;;8;9;7;8;3;7;
651;13;1;3;0;3;0;1;;40;70;12;50;1;30;;7;8;5;7;0;5;
546;13;1;3;0;3;0;1;;35;50;30;40;0;35;;7;9;7;8;0;7;
609;13;;;;;;;;;;;;;;;;;;;;;
649;13;;;;;;;;;;;;;;;;;;;;;
634;13;1;3;0;3;0;1;;20;25;20;20;1;20;;9;10;9;9;1;9;
;;629;323;541;625;593;;;629;323;541;625;593;;;629;323;541;625;593;;
629;14;;;;;;;;;;;;;;;;;;;;;
323;14;0;3;0;1;3;;;5;12;4;3;10;;;5;10;6;5;10;;
541;14;0;3;1;0;3;;;7;10;7;5;14;;;6;8;7;5;9;;
625;14;1;3;0;0;3;;;5;9;4;4;10;;;10;10;9;10;10;;
593;14;1;3;0;0;3;;;;;;;;;;;;;;;;
;;622;624;621;159;554;616;;622;624;621;159;554;616;;622;624;621;159;554;616;
622;15;1;3;0;1;0;3;;12;14;6;14;10;20;;8;8;4;8;6;10;
624;15;3;1;1;0;0;3;;7;5;6;5;4;9;;9;7;7;7;6;10;
621;15;;;;;;;;;;;;;;;;;;;;;
159;15;1;3;1;0;0;3;;14;14;12;9;10;15;;9;9;8;7;8;9;
554;15;1;3;0;0;1;3;;8;8;6;6;7;8;;8;9;6;7;7;9;
